side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
long,rolling,2024-08-23 16:00:00,2024-08-27 12:00:00,63628.84,61960.66,0.01017,61960.66,-17.6,False,92.0
long,primary,2024-08-28 08:00:00,2024-09-04 00:00:00,59935.0,56914.75,0.055861,56914.75,-171.89,False,160.0
long,primary,2024-09-04 12:00:00,2024-09-06 12:00:00,58134.0,54722.19,0.048423,54722.19,-167.86,False,48.0
short,primary,2024-09-18 08:00:00,2024-09-19 00:00:00,59846.0,61882.11,0.054071,61882.11,-113.44,False,16.0
short,rolling,2024-10-01 20:00:00,2024-10-02 16:00:00,60805.78,62231.41,0.005264,62231.41,-7.83,False,20.0
short,rolling,2024-10-01 16:00:00,2024-10-04 08:00:00,61755.99,61627.6,0.004386,63039.87,8.48,True,64.0
short,rolling,2024-10-01 12:00:00,2024-10-06 12:00:00,62628.85,62515.46,0.007311,63762.76,12.36,True,120.0
short,primary,2024-09-27 08:00:00,2024-10-07 00:00:00,65437.35,63011.81,0.024369,67108.83,117.14,True,232.0
long,primary,2024-10-18 00:00:00,2024-10-23 12:00:00,67555.4,65945.94,0.047951,65945.94,-80.34,False,132.0
short,primary,2024-10-25 04:00:00,2024-10-28 12:00:00,67531.97,69188.02,0.047472,69188.02,-81.9,False,80.0
short,primary,2024-11-11 04:00:00,2024-11-11 12:00:00,81109.1,83527.51,0.039106,83527.51,-97.84,False,8.0
short,primary,2024-11-21 12:00:00,2024-11-27 16:00:00,96672.0,96281.84,0.016196,100573.63,98.08,True,148.0
short,primary,2024-11-28 12:00:00,2024-12-04 20:00:00,95007.14,98700.98,0.03336,98700.98,-126.52,False,152.0
short,primary,2024-12-05 12:00:00,2024-12-06 16:00:00,101292.01,100779.36,0.015203,106418.47,121.75,True,28.0
short,rolling,2024-12-05 20:00:00,2024-12-06 16:00:00,96945.63,100739.81,0.009122,100739.81,-35.53,False,20.0
long,rolling,2025-01-06 12:00:00,2025-01-07 08:00:00,102147.95,100679.54,0.003664,100679.54,-5.75,False,20.0
long,primary,2024-12-31 04:00:00,2025-01-07 12:00:00,92860.75,99700.61,0.016963,90504.34,172.66,True,176.0
long,rolling,2025-01-03 16:00:00,2025-01-07 12:00:00,98592.01,99700.61,0.005089,96927.82,17.32,True,92.0
long,rolling,2025-01-06 00:00:00,2025-01-07 12:00:00,99037.57,99700.61,0.003053,97981.29,6.25,True,36.0
long,primary,2025-01-08 12:00:00,2025-01-09 12:00:00,95493.77,92249.18,0.033767,92249.18,-112.68,False,24.0
long,rolling,2025-01-17 16:00:00,2025-01-18 00:00:00,105834.93,103418.4,0.00593,103418.4,-14.94,False,8.0
long,primary,2025-01-13 20:00:00,2025-01-19 20:00:00,94536.1,102138.5,0.016472,89712.52,241.05,True,144.0
long,rolling,2025-01-17 12:00:00,2025-01-19 20:00:00,104000.0,101692.86,0.009883,101692.86,-23.81,False,56.0
long,primary,2025-01-20 04:00:00,2025-01-27 04:00:00,107120.65,97841.5,0.017551,97841.5,-164.58,False,168.0
long,primary,2025-01-27 12:00:00,2025-02-02 20:00:00,101112.03,96653.03,0.031556,96653.03,-143.76,False,152.0
long,primary,2025-02-12 04:00:00,2025-02-18 16:00:00,96069.58,93596.9,0.03259,93596.9,-83.63,False,156.0
